episode,phase,smiles,reward,size_center,entropy,kl_coef,max_steps,replay
0,1,CC1CNC(C)C2CC(F)C(Cl)N(C2)C2NC3C=NC4C(C1)C1OC5CCC4C(C2C(O)C5)N2COC4(CC(Cl)CC3CCC4O)C2C1N(O)Cl,0.27831918979266035,25.0,0.1,1.0,60,32
0,1,CC12ONC34CN5C(=O)C1N1C(N6C=C=C=C(N)C6)=CC6=C=C=C(C7=NOC2C3(C)C=CC(=C1O6)O7)C54,0.3282135117721888,25.0,0.1,1.0,60,32
0,1,C=C1NC2=NN3C4=CC5=CC=CC6(C=C6)N(NN43)C3=CC4=C1C1=CC=C3C(=C)SC(=C2N1C4C)C5,0.17041840681295084,25.0,0.1,1.0,60,32
0,1,CC1(Cl)NN2C3=CC4=C(N=NC=C3N)N=C(C=CC=NC35C=CC(=O)C(=C(C3=N)N21)C(F)=C5)C=C4F,0.15763478407045686,25.0,0.1,1.0,60,32
0,1,O=C1OCCC2=CC=C1SC2,0.02727006968844343,25.0,0.1,1.0,60,32
0,1,CSNSN1C=C2C=C(C(=O)N(N=O)C(=S)C(C)(C)N(O)CS2)C1N(F)S,0.09491546482008548,25.0,0.1,1.0,60,32
0,1,C=C1C=C2C3=CCC1=CC(O)=C(F)C(=C3F)N2O,0.09396075181951165,25.0,0.1,1.0,60,32
0,1,CC12C=C=C3N=C4C=CC1=CC1=NC=C5C(=C=C1OC1=C=NC(C)(CSC32)N15)O4,0.244735765240641,25.0,0.1,1.0,60,32
0,1,COC1=C2N=C3OC4C=CCC5C(CC(=O)C(CCCC6C(=O)C6C=C2C=C(C(=O)O)C(=O)C4)C(=N1)C(CO)O3)CC5C(C)O,0.25143656822322163,25.0,0.1,1.0,60,32
0,1,C=C1N2CSC13C(C)=CC1=C4C5ON6NC7CC8C(CCN8C8(CCC8O)C(Cl)C(Cl)C(C1C63)C(C)(CC2Cl)C45)C(=O)C(=O)C7Cl,0.24372564953770204,25.0,0.1,1.0,60,32
0,1,C=C(C)C(=C1NC12C=CC(=O)C(=O)C=C2C=S)N1NSC(=C(C)C)C=C1COC1=CN(O)C=C(C(=C)N(O)O)SC1=C,0.3100555406743567,25.0,0.1,1.0,60,32
0,1,COC1(C)CC(=CC=CNC(C)=O)C(O)N=C(CO)OC(C(C=O)C(=O)O)CCC1O,0.17986099265759198,25.0,0.1,1.0,60,32
0,1,C=C(O)C1=C2NC3=C=C4OC5OC46C4=CC(=CC(=CN7C8C5=C5C(C)=C(SC86C7N5C4=O)C2=C)OO3)O1,0.3048280026529756,25.0,0.1,1.0,60,32
0,1,O=C1C2=C=C3C=CN4CN(N=C3C3=C=C=C(N(O)S)C3)C(=O)N3N5C6=CC=C7OOC1=CON4C26C735,0.20149206961223454,25.0,0.1,1.0,60,32
0,1,C=C1C2=C3C(=NC=CN1C2=N)NC1=C(O)C2(OC(O)O2)OC2(CC=CCC4(CC2)C(N=NC(C)=S)=CC=C14)SCN3OC,0.29406102628564573,25.0,0.1,1.0,60,32
0,1,CCCC(OC(CC)CC1CCC(O)C(CC(C)O)C(O)NOC(C)(N)C(CCC(NN)OC)(OC)C1C(CCCC(O)O)N(C(O)COCC)C(CO)OC)C(C)(C)O,0.24501153981490897,25.0,0.1,1.0,60,32
0,1,CC1CCCN(CC2=C3OC(=O)C(O)=C(O)C=C=CN3C(Cl)=CC(NC(=O)S)N2)C1,0.25904947735692996,25.0,0.1,1.0,60,32
0,1,CC1=CN2C3=C4N=NC5C6=CC=CC7=NC(=CC(=O)C=C4C2CC(O)CC(CCC6C5(C)C)OC1O7)CC(C(=O)O)=C3,0.31648959132203314,25.0,0.1,1.0,60,32
0,1,CC(C)(C)C12OC(O)SNC(=C3C=CC1(SOO)CO3)S2,0.09108947035600955,25.0,0.1,1.0,60,32
0,1,C=C(C)C=CC1=CC2=CC3=CC=C=CC=CC=CC=C1C(O)=C3C2,0.11826947043286365,25.0,0.1,1.0,60,32
0,1,C=C(Cl)C1=C=C2C(N)=C3C=C4NN(C5=CC(=CCl)N=C5)N=C(C2F)C4N(CC(F)(F)C(C(=O)O)SN3)C1=O,0.17493015851995292,25.0,0.1,1.0,60,32
0,1,C=NC(O)C1NC(O)CC(C)(C(CCC2CC(CO)C(O)C=CC(C)C(C)=CC2=COC)OOC)C(N)C(CCC(=C)C)OC2C(CC(F)C1O)N2O,0.278194698835076,25.0,0.1,1.0,60,32
0,1,C=CN(O)C1=C=CC2=CC3=C=C2OC=C2C4C1(CN2C(O)=CC=CO3)CC4(C)N(O)O,0.26414274212869254,25.0,0.1,1.0,60,32
0,1,CON1C2=C3NC4=COC=C=C=C5OC(=C4)C4=CN=CC3=C(C2)C(N(O)O)(OC4=O)C1C(=O)C5=O,0.18710229829204705,25.0,0.1,1.0,60,32
0,1,CC1C(O)C2CCC3C(CCCC13)CC(C)(C1(O)CCS1)C2(C)O,0.16147270930357435,25.0,0.1,1.0,60,32
0,1,C=C(O)OC(=C=C1N=C(O)C=CC(=O)N1OCC)N(O)C1=CC=COC(CC(=O)O)=C1,0.1954627965951981,25.0,0.1,1.0,60,32
0,1,C=C(C)C1=C(C(=O)CCCC(C)C)N(C)C(O)C(C(C)CC)O1,0.18117189361884742,25.0,0.1,1.0,60,32
0,1,C=NC1=NC(=O)C(=O)C2=CC3=C(C)OC(=C(N=O)C(=O)OSCC4=NCN3CC(OOCl)C2(O)O4)C(O)=C(C)S1,0.09731841836447785,25.0,0.1,1.0,60,32
0,1,CN1C2=CC3=NSC4C(=O)C=C3OCC3=C=CC5(O)OC(=O)C=CC(C=C=CC(=O)N1N3)(C5=C=C2)N4O,0.28972745606405315,25.0,0.1,1.0,60,32
0,1,C=C1OC12CN1CC(F)=CN3C=C=C(C(=O)COOC)C(O)=C4C(=O)C=C(O)C=C(C(O)=C31)C4(C)C2,0.2456771576161512,25.0,0.1,1.0,60,32
0,1,CC12C3=CC=CC1C=C(N)C1=CC(=C(O)O)C(C(O)=N3)C3CCC(C=CC1=O)C2N=C3O,0.26822436390667304,25.0,0.1,1.0,60,32
0,1,C=C(O)CC12CN3C(=O)C4=CC=C(OC(O)=C=C1N2O)C1=C(C3=NF)N2N=CC1C(=C)OOC(=C)C=C42,0.2741913252012713,25.0,0.1,1.0,60,32
32,1,O=C(S)NC1=NC(=O)C(CO)=CN=C2OC(=O)N2C=CC(=C=C2OO2)C=C2SC(=O)N(O)C(=CCl)OSN21,0.08106404175921333,25.0,0.1,1.0,60,64
32,1,CCOC1CCOC(C)CN(C)CC(CCNC(S)C(CC)CC)CCCC(C)C(CC(O)CCNN)N(CCCC(O)CO)N(S)C(O)NNCN(CC(C)CC)CC1,0.3012036206771785,25.0,0.1,1.0,60,64
32,1,CC(=O)N1CC(C2=CON=C2)OC(N(O)O)=C=C1N,0.09214111294174325,25.0,0.1,1.0,60,64
32,1,C=C(C(=O)CSC1OC=CC=C1C=C=S)C1=C(C(=S)N=NCl)OC2C(=CC(C)(O)C1)C1=C=C=NCN1C(=S)N2C(=O)Cl,0.22311133871579328,25.0,0.1,1.0,60,64
32,1,CC1CC23CCC45COC4CN1C=CC1(C)C(O)CCC2C(O)N(C2CC2)C2C(CC1N25)NC3,0.2769995689481519,25.0,0.1,1.0,60,64
32,1,C=C1CC(C)=C2CC3=C4C=C3N3C5=C(OO)C43C1=C2C=CC5=O,0.14798126372630174,25.0,0.1,1.0,60,64
32,1,CC(=O)C1C(=O)NC2=C(C)C=CC=C(O)C(=CC2=O)C2(N)NN2C(C)C12C=C(C(=O)O)S2,0.27866713063463966,25.0,0.1,1.0,60,64
32,1,CC1=CC=CC(NC(=O)C2=CC=CN=C(C)C(F)=C2)=CC1=C1C(C)CN1N,0.24538182032313205,25.0,0.1,1.0,60,64
32,1,CNN1C=C(C)C=C(F)C(CC(C)(CC(=O)C2=CC(N)=NC=C2C)C(CC(C)C(O)NOC)CC(C)C(C)N(O)CO)=C1,0.3230264192365277,25.0,0.1,1.0,60,64
32,1,CC(O)C1ON2N3N=C(SC4=CC=CC=C4)CC(O)(CC2(C)C)N1C(F)=N3,0.24996563462829463,25.0,0.1,1.0,60,64
32,1,O=C(CSCl)C1=CC=CC1C(=O)NSC(SO)=C1NN1,0.088963326112971,25.0,0.1,1.0,60,64
32,1,CC1(N2CC(Cl)=C(Cl)N=N2)C=C=C=C=C(N)OC=C(OO)C=CC(F)=C1,0.18484682896598895,25.0,0.1,1.0,60,64
